,Dept,Size,IsHoliday,MarkDown3,Month,A,B,C
61,9,140167,False,0.0,1,0,1,0
62,14,155083,False,0.0,1,1,0,0
63,48,93188,False,0.0,1,0,1,0
64,24,155083,False,0.0,1,1,0,0
65,49,93188,False,0.0,1,0,1,0
66,52,140167,False,0.0,1,0,1,0
67,25,155078,False,0.0,1,1,0,0
68,91,203742,False,0.0,1,1,0,0
69,31,42988,False,0.0,1,0,0,1
70,81,57197,False,0.0,1,0,1,0
71,92,203742,False,0.0,1,1,0,0
72,33,39690,False,0.0,1,0,0,1
73,38,219622,False,0.0,1,1,0,0
74,60,93188,False,0.0,1,0,1,0
75,23,126512,False,0.0,1,0,1,0
76,91,140167,False,0.0,1,0,1,0
77,93,202307,False,0.0,1,1,0,0
78,67,152513,False,0.0,1,1,0,0
79,82,39910,False,0.0,1,0,0,1
80,94,123737,False,0.0,1,0,1,0
81,3,42988,False,0.0,1,0,0,1
82,96,34875,False,0.0,1,0,1,0
83,54,196321,False,0.0,1,1,0,0
84,49,140167,False,0.0,1,0,1,0
85,72,152513,False,0.0,1,1,0,0
86,6,205863,False,0.0,1,1,0,0
87,29,152513,False,0.0,1,1,0,0
88,31,125833,False,0.0,1,0,1,0
89,40,203750,False,0.0,1,1,0,0
90,18,140167,False,0.0,1,0,1,0
91,24,126512,False,0.0,1,0,1,0
92,58,114533,False,0.0,1,0,1,0
93,49,151315,False,0.0,1,1,0,0
94,41,70713,False,0.0,1,0,1,0
95,55,34875,False,0.0,1,0,1,0
96,72,204184,False,0.0,1,1,0,0
97,94,196321,False,0.0,1,1,0,0
98,9,114533,False,0.0,1,0,1,0
99,52,196321,False,0.0,1,1,0,0
100,85,204184,False,0.0,1,1,0,0
101,82,184109,False,0.0,1,1,0,0
102,40,114533,False,0.0,1,0,1,0
103,46,42988,False,0.0,1,0,0,1
104,50,123737,False,0.0,1,0,1,0
105,67,202307,False,0.0,1,1,0,0
106,8,114533,False,0.0,1,0,1,0
107,29,202307,False,0.0,1,1,0,0
108,29,196321,False,0.0,1,1,0,0
109,31,112238,False,0.0,1,0,1,0
110,22,219622,False,0.0,1,1,0,0
111,74,184109,False,0.0,1,1,0,0
112,5,112238,False,0.0,1,0,1,0
113,31,155083,False,0.0,1,1,0,0
114,44,219622,False,0.0,1,1,0,0
115,93,39910,False,0.0,1,0,0,1
116,74,158114,False,0.0,1,1,0,0
117,37,158114,False,0.0,1,1,0,0
118,60,39910,False,0.0,1,1,0,0
119,25,152513,False,0.0,1,1,0,0
120,80,204184,False,0.0,1,1,0,0
121,34,203750,False,0.0,1,1,0,0
122,28,39690,False,0.0,1,0,0,1
123,23,196321,False,0.0,1,1,0,0
124,12,151315,False,0.0,1,1,0,0
125,36,114533,False,0.0,1,0,1,0
126,6,155083,False,0.0,1,1,0,0
127,6,206302,False,0.0,1,1,0,0
128,98,93188,False,0.0,1,0,1,0
129,40,42988,False,0.0,1,0,0,1
130,91,123737,False,0.0,1,0,1,0
131,20,205863,False,0.0,1,1,0,0
132,37,205863,False,0.0,1,1,0,0
133,59,219622,False,0.0,1,1,0,0
134,32,155083,False,0.0,1,1,0,0
135,7,39690,False,0.0,1,0,0,1
136,30,151315,False,0.0,1,1,0,0
137,4,114533,False,0.0,1,0,1,0
138,79,184109,False,0.0,1,1,0,0
139,46,70713,False,0.0,1,0,1,0
140,25,39910,False,0.0,1,0,0,1
141,27,70713,False,0.0,1,0,1,0
142,85,93638,False,0.0,1,0,1,0
143,52,204184,False,0.0,1,1,0,0
144,58,204184,False,0.0,1,1,0,0
145,42,219622,False,0.0,1,1,0,0
146,36,203750,False,0.0,1,1,0,0
147,34,158114,False,0.0,1,1,0,0
148,8,93188,False,0.0,1,0,1,0
149,8,39690,False,0.0,1,0,0,1
150,85,203742,False,0.0,1,1,0,0
151,80,119557,False,0.0,1,0,1,0
152,19,126512,False,0.0,1,0,1,0
153,19,155078,False,0.0,1,1,0,0
154,5,42988,False,0.0,1,0,0,1
155,67,114533,False,0.0,1,0,1,0
156,44,70713,False,0.0,1,0,1,0
157,93,158114,False,0.0,1,1,0,0
158,5,114533,False,0.0,1,0,1,0
159,8,155083,False,0.0,1,1,0,0
160,74,39690,False,0.0,1,0,0,1
161,93,196321,False,0.0,1,1,0,0
162,11,39910,False,0.0,1,0,0,1
163,87,93638,False,0.0,1,0,1,0
164,1,119557,False,0.0,1,0,1,0
165,26,155083,False,0.0,1,1,0,0
166,4,39690,False,0.0,1,0,0,1
167,29,103681,False,0.0,1,0,1,0
168,7,151315,False,0.0,1,1,0,0
169,16,112238,False,0.0,1,0,1,0
170,9,93188,False,0.0,1,0,1,0
171,41,126512,False,0.0,1,0,1,0
172,26,152513,False,0.0,1,1,0,0
173,93,123737,False,0.0,1,0,1,0
174,21,126512,False,0.0,1,0,1,0
175,19,219622,False,0.0,1,1,0,0
176,1,39910,False,0.0,1,0,0,1
177,18,151315,False,0.0,1,1,0,0
178,59,140167,False,0.0,1,0,1,0
179,6,152513,False,0.0,1,1,0,0
180,81,204184,False,0.0,1,1,0,0
181,58,93188,False,0.0,1,0,1,0
182,46,123737,False,0.0,1,0,1,0
183,79,57197,False,0.0,1,0,1,0
184,97,152513,False,0.0,1,1,0,0
185,98,158114,False,0.0,1,1,0,0
186,54,184109,False,0.0,1,1,0,0
187,33,112238,False,0.0,1,0,1,0
188,55,93188,False,0.0,1,0,1,0
189,51,103681,False,0.0,1,0,1,0
190,71,34875,False,0.0,1,0,1,0
191,13,140167,False,0.0,1,0,1,0
192,20,158114,False,0.0,1,1,0,0
193,2,203007,False,0.0,1,1,0,0
194,30,196321,False,0.0,1,1,0,0
195,81,152513,False,0.0,1,1,0,0
196,9,219622,False,0.0,1,1,0,0
197,38,202307,False,0.0,1,1,0,0
198,92,39910,False,0.0,1,0,0,1
199,14,112238,False,0.0,1,0,1,0
200,82,152513,False,0.0,1,1,0,0
201,2,57197,False,0.0,1,0,1,0
202,12,155083,False,0.0,1,1,0,0
203,14,118221,False,0.0,1,0,1,0
204,56,93188,False,0.0,1,0,1,0
205,14,39910,False,0.0,1,0,0,1
206,67,34875,False,0.0,1,0,1,0
207,42,42988,False,0.0,1,0,0,1
208,71,114533,False,0.0,1,0,1,0
209,7,205863,False,0.0,1,1,0,0
210,35,114533,False,0.0,1,0,1,0
211,6,57197,False,0.0,1,0,1,0
212,45,196321,False,0.0,1,1,0,0
213,7,93188,False,0.0,1,0,1,0
214,41,151315,False,0.0,1,1,0,0
215,90,57197,False,0.0,1,0,1,0
216,11,140167,False,0.0,1,0,1,0
217,14,34875,False,0.0,1,0,1,0
218,9,126512,False,0.0,1,0,1,0
219,85,39690,False,0.0,1,0,0,1
220,2,114533,False,0.0,1,0,1,0
221,79,204184,False,0.0,1,1,0,0
222,92,123737,False,0.0,1,0,1,0
223,6,93188,False,0.0,1,0,1,0
224,29,125833,False,0.0,1,0,1,0
225,33,158114,False,0.0,1,1,0,0
226,48,151315,False,0.0,1,1,0,0
227,24,152513,False,0.0,1,1,0,0
228,44,184109,False,0.0,1,1,0,0
229,94,158114,False,0.0,1,1,0,0
230,34,112238,False,0.0,1,0,1,0
231,5,39690,False,0.0,1,0,0,1
232,40,126512,False,0.0,1,0,1,0
233,67,140167,False,0.0,1,0,1,0
234,44,123737,False,0.0,1,0,1,0
235,7,206302,False,0.0,1,1,0,0
236,35,203750,False,0.0,1,1,0,0
237,82,203750,False,0.0,1,1,0,0
238,6,155078,False,0.0,1,1,0,0
239,18,39910,False,0.0,1,1,0,0
240,38,39690,False,0.0,1,0,0,1
241,55,70713,False,0.0,1,0,1,0
242,79,39910,False,0.0,1,1,0,0
243,41,219622,False,0.0,1,1,0,0
244,45,123737,False,0.0,1,0,1,0
245,18,219622,False,0.0,1,1,0,0
246,46,41062,False,0.0,1,0,0,1
247,71,140167,False,0.0,1,0,1,0
248,92,118221,False,0.0,1,0,1,0
249,83,118221,False,0.0,1,0,1,0
250,60,140167,False,0.0,1,0,1,0
251,55,126512,False,0.0,1,0,1,0
252,20,206302,False,0.0,1,1,0,0
253,17,205863,False,0.0,1,1,0,0
254,83,203742,False,0.0,1,1,0,0
255,46,125833,False,0.0,1,0,1,0
256,28,123737,False,0.0,1,0,1,0
257,12,140167,False,0.0,1,0,1,0
258,8,202307,False,0.0,1,1,0,0
259,42,112238,False,0.0,1,0,1,0
260,1,202505,False,0.0,1,1,0,0
261,3,114533,False,0.0,1,0,1,0
262,96,39910,False,0.0,1,0,0,1
263,4,42988,False,0.0,1,0,0,1
264,21,206302,False,0.0,1,1,0,0
265,40,37392,False,0.0,1,0,1,0
266,83,152513,False,0.0,1,1,0,0
267,2,119557,False,0.0,1,0,1,0
268,81,158114,False,0.0,1,1,0,0
269,1,120653,False,0.0,1,0,1,0
270,4,41062,False,0.0,1,0,0,1
271,20,126512,False,0.0,1,0,1,0
272,33,103681,False,0.0,1,0,1,0
273,26,203750,False,0.0,1,1,0,0
274,79,39690,False,0.0,1,0,0,1
275,5,206302,False,0.0,1,1,0,0
276,12,93188,False,0.0,1,0,1,0
277,2,202505,False,0.0,1,1,0,0
278,1,203007,False,0.0,1,1,0,0
279,87,119557,False,0.0,1,0,1,0
280,74,202307,False,0.0,1,1,0,0
281,33,114533,False,0.0,1,0,1,0
282,72,39910,False,0.0,1,0,0,1
283,83,158114,False,0.0,1,1,0,0
284,59,39910,False,0.0,1,1,0,0
285,90,203742,False,0.0,1,1,0,0
286,85,184109,False,0.0,1,1,0,0
287,42,123737,False,0.0,1,0,1,0
288,87,123737,False,0.0,1,0,1,0
289,28,70713,False,0.0,1,0,1,0
290,19,206302,False,0.0,1,1,0,0
291,28,41062,False,0.0,1,0,0,1
292,23,125833,False,0.0,1,0,1,0
293,49,123737,False,0.0,1,0,1,0
294,13,112238,False,0.0,1,0,1,0
295,45,184109,False,0.0,1,1,0,0
296,83,203750,False,0.0,1,1,0,0
297,38,203750,False,0.0,1,1,0,0
298,47,125833,False,0.0,1,0,1,0
299,34,39690,False,0.0,1,0,0,1
300,27,152513,False,0.0,1,1,0,0
301,67,42988,False,0.0,1,0,0,1
302,8,41062,False,0.0,1,0,0,1
303,55,125833,False,0.0,1,0,1,0
304,90,202307,False,0.0,1,1,0,0
305,79,152513,False,0.0,1,1,0,0
306,90,119557,False,0.0,1,0,1,0
307,55,140167,False,0.0,1,0,1,0
308,96,152513,False,0.0,1,1,0,0
309,59,114533,False,0.0,1,0,1,0
310,72,34875,False,0.0,1,0,1,0
311,8,206302,False,0.0,1,1,0,0
312,80,39910,False,0.0,1,0,0,1
313,31,103681,False,0.0,1,0,1,0
314,28,103681,False,0.0,1,0,1,0
315,11,39910,False,0.0,1,0,0,1
316,13,93188,False,0.0,1,0,1,0
317,33,203750,False,0.0,1,1,0,0
318,3,202307,False,0.0,1,1,0,0
319,59,41062,False,0.0,1,0,0,1
320,42,196321,False,0.0,1,1,0,0
321,92,57197,False,0.0,1,0,1,0
322,22,152513,False,0.0,1,1,0,0
323,18,155078,False,0.0,1,1,0,0
324,9,206302,False,0.0,1,1,0,0
325,27,151315,False,0.0,1,1,0,0
326,32,42988,False,0.0,1,0,0,1
327,30,123737,False,0.0,1,0,1,0
328,21,219622,False,0.0,1,1,0,0
329,98,152513,False,0.0,1,1,0,0
330,60,202307,False,0.0,1,1,0,0
331,34,42988,False,0.0,1,0,0,1
332,38,39910,False,0.0,1,1,0,0
333,8,152513,False,0.0,1,1,0,0
334,26,70713,False,0.0,1,0,1,0
335,80,57197,False,0.0,1,0,1,0
336,74,152513,False,0.0,1,1,0,0
337,83,39690,False,0.0,1,0,0,1
338,26,202307,False,0.0,1,1,0,0
339,67,39910,False,0.0,1,1,0,0
340,42,70713,False,0.0,1,0,1,0
341,3,41062,False,0.0,1,0,0,1
342,54,140167,False,0.0,1,0,1,0
343,82,204184,False,0.0,1,1,0,0
344,20,155078,False,0.0,1,1,0,0
345,7,114533,False,0.0,1,0,1,0
346,42,125833,False,0.0,1,0,1,0
347,6,34875,False,0.0,1,0,1,0
348,28,152513,False,0.0,1,1,0,0
349,6,202307,False,0.0,1,1,0,0
350,20,37392,False,0.0,1,0,1,0
351,22,126512,False,0.0,1,0,1,0
352,5,39690,False,0.0,1,0,0,1
353,10,93188,False,0.0,1,0,1,0
354,4,204184,False,0.0,1,1,0,0
355,35,112238,False,0.0,1,0,1,0
356,44,196321,False,0.0,1,1,0,0
357,41,103681,False,0.0,1,0,1,0
358,90,93638,False,0.0,1,0,1,0
359,10,140167,False,0.0,1,0,1,0
360,16,34875,False,0.0,1,0,1,0
361,58,140167,False,0.0,1,0,1,0
362,23,152513,False,0.0,1,1,0,0
363,2,155078,False,0.0,1,1,0,0
364,25,155083,False,0.0,1,1,0,0
365,6,114533,False,0.0,1,0,1,0
366,1,114533,False,0.0,1,0,1,0
367,90,123737,False,0.0,1,0,1,0
368,87,203742,False,0.0,1,1,0,0
369,13,155083,False,0.0,1,1,0,0
370,14,140167,False,0.0,1,0,1,0
371,27,34875,False,0.0,1,0,1,0
372,32,103681,False,0.0,1,0,1,0
373,80,158114,False,0.0,1,1,0,0
374,35,158114,False,0.0,1,1,0,0
375,54,93188,False,0.0,1,0,1,0
376,7,155078,False,0.0,1,1,0,0
377,82,158114,False,0.0,1,1,0,0
378,4,112238,False,0.0,1,0,1,0
379,38,126512,False,0.0,1,0,1,0
380,74,204184,False,0.0,1,1,0,0
381,92,140167,False,0.0,1,0,1,0
382,81,203750,False,0.0,1,1,0,0
383,29,123737,False,0.0,1,0,1,0
384,97,93188,False,0.0,1,0,1,0
385,2,39910,False,0.0,1,0,0,1
386,55,184109,False,0.0,1,1,0,0
387,38,42988,False,0.0,1,0,0,1
388,44,125833,False,0.0,1,0,1,0
389,26,118221,False,0.0,1,0,1,0
390,91,57197,False,0.0,1,0,1,0
391,81,119557,False,0.0,1,0,1,0
392,7,39910,False,0.0,1,0,0,1
393,52,93188,False,0.0,1,0,1,0
394,54,126512,False,0.0,1,0,1,0
395,54,34875,False,0.0,1,0,1,0
396,20,219622,False,0.0,1,1,0,0
397,30,118221,False,0.0,1,0,1,0
398,34,37392,False,0.0,1,0,1,0
399,38,114533,False,0.0,1,0,1,0
400,59,93188,False,0.0,1,0,1,0
401,95,93188,False,0.0,1,0,1,0
402,58,219622,False,0.0,1,1,0,0
403,36,158114,False,0.0,1,1,0,0
404,2,205863,False,0.0,1,1,0,0
405,11,93188,False,0.0,1,0,1,0
406,16,219622,False,0.0,1,1,0,0
407,97,34875,False,0.0,1,0,1,0
408,56,140167,False,0.0,1,0,1,0
409,72,140167,False,0.0,1,0,1,0
410,5,93188,False,0.0,1,0,1,0
411,32,112238,False,0.0,1,0,1,0
412,40,39690,False,0.0,1,0,0,1
413,34,114533,False,0.0,1,0,1,0
414,7,152513,False,0.0,1,1,0,0
415,74,140167,False,0.0,1,0,1,0
416,80,152513,False,0.0,1,1,0,0
417,79,158114,False,0.0,1,1,0,0
418,9,202505,False,0.0,1,1,0,0
419,18,70713,False,0.0,1,0,1,0
420,40,219622,False,0.0,1,1,0,0
421,85,152513,False,0.0,1,1,0,0
422,30,125833,False,0.0,1,0,1,0
423,37,203750,False,0.0,1,1,0,0
424,72,42988,False,0.0,1,0,0,1
425,95,39690,False,0.0,1,0,0,1
426,6,42988,False,0.0,1,0,0,1
427,23,37392,False,0.0,1,0,1,0
428,26,155078,False,0.0,1,1,0,0
429,30,112238,False,0.0,1,0,1,0
430,44,93188,False,0.0,1,0,1,0
431,10,152513,False,0.0,1,1,0,0
432,24,70713,False,0.0,1,0,1,0
433,7,219622,False,0.0,1,1,0,0
434,29,126512,False,0.0,1,0,1,0
435,19,114533,False,0.0,1,0,1,0
436,18,152513,False,0.0,1,1,0,0
437,10,155083,False,0.0,1,1,0,0
438,26,39690,False,0.0,1,0,0,1
439,34,152513,False,0.0,1,1,0,0
440,12,155078,False,0.0,1,1,0,0
441,67,184109,False,0.0,1,1,0,0
442,94,152513,False,0.0,1,1,0,0
443,48,126512,False,0.0,1,0,1,0
444,22,155083,False,0.0,1,1,0,0
445,44,114533,False,0.0,1,0,1,0
446,2,204184,False,0.0,1,1,0,0
447,29,155083,False,0.0,1,1,0,0
448,2,151315,False,0.0,1,1,0,0
449,96,196321,False,0.0,1,1,0,0
450,25,140167,False,0.0,1,0,1,0
451,98,39910,False,0.0,1,0,0,1
452,36,93188,False,0.0,1,0,1,0
453,93,119557,False,0.0,1,0,1,0
454,91,203750,False,0.0,1,1,0,0
455,93,204184,False,0.0,1,1,0,0
456,58,34875,False,0.0,1,0,1,0
457,50,114533,False,0.0,1,0,1,0
458,56,123737,False,0.0,1,0,1,0
459,14,152513,False,0.0,1,1,0,0
460,36,125833,False,0.0,1,0,1,0
461,98,123737,False,0.0,1,0,1,0
462,25,203750,False,0.0,1,1,0,0
463,72,123737,False,0.0,1,0,1,0
464,19,155083,False,0.0,1,1,0,0
465,41,205863,False,0.0,1,1,0,0
466,33,140167,False,0.0,1,0,1,0
467,4,202505,False,0.0,1,1,0,0
468,26,114533,False,0.0,1,0,1,0
469,28,118221,False,0.0,1,0,1,0
470,52,158114,False,0.0,1,1,0,0
471,98,203742,False,0.0,1,1,0,0
472,16,155078,False,0.0,1,1,0,0
473,85,57197,False,0.0,1,0,1,0
474,56,39690,False,0.0,1,0,0,1
475,56,34875,False,0.0,1,0,1,0
476,34,70713,False,0.0,1,0,1,0
477,7,155083,False,0.0,1,1,0,0
478,13,206302,False,0.0,1,1,0,0
479,44,158114,False,0.0,1,1,0,0
480,49,114533,False,0.0,1,0,1,0
481,94,204184,False,0.0,1,1,0,0
482,42,39910,False,0.0,1,1,0,0
483,20,114533,False,0.0,1,0,1,0
484,98,57197,False,0.0,1,0,1,0
485,94,203750,False,0.0,1,1,0,0
486,91,158114,False,0.0,1,1,0,0
487,52,125833,False,0.0,1,0,1,0
488,32,140167,False,0.0,1,0,1,0
489,23,155078,False,0.0,1,1,0,0
490,19,37392,False,0.0,1,0,1,0
491,95,204184,False,0.0,1,1,0,0
492,1,204184,False,0.0,1,1,0,0
493,12,118221,False,0.0,1,0,1,0
494,95,119557,False,0.0,1,0,1,0
495,44,152513,False,0.0,1,1,0,0
496,94,39910,False,0.0,1,0,0,1
497,48,219622,False,0.0,1,1,0,0
498,29,219622,False,0.0,1,1,0,0
499,98,204184,False,0.0,1,1,0,0
500,79,93188,False,0.0,1,0,1,0
501,85,119557,False,0.0,1,0,1,0
502,54,203750,False,0.0,1,1,0,0
503,38,112238,False,0.0,1,0,1,0
504,95,93638,False,0.0,1,0,1,0
505,38,123737,False,0.0,1,0,1,0
506,21,112238,False,0.0,1,0,1,0
507,28,93188,False,0.0,1,0,1,0
508,26,151315,False,0.0,1,1,0,0
509,83,93188,False,0.0,1,0,1,0
510,36,196321,False,0.0,1,1,0,0
511,10,42988,False,0.0,1,0,0,1
512,46,39910,False,0.0,1,1,0,0
513,4,57197,False,0.0,1,0,1,0
514,81,184109,False,0.0,1,1,0,0
515,14,42988,False,0.0,1,0,0,1
516,33,126512,False,0.0,1,0,1,0
517,96,151315,False,0.0,1,1,0,0
518,31,70713,False,0.0,1,0,1,0
519,25,112238,False,0.0,1,0,1,0
520,28,126512,False,0.0,1,0,1,0
521,31,39910,False,0.0,1,0,0,1
522,9,118221,False,0.0,1,0,1,0
523,44,112238,False,0.0,1,0,1,0
524,17,42988,False,0.0,1,0,0,1
525,87,140167,False,0.0,1,0,1,0
526,35,70713,False,0.0,1,0,1,0
527,25,125833,False,0.0,1,0,1,0
528,80,39690,False,0.0,1,0,0,1
529,98,196321,False,0.0,1,1,0,0
530,19,152513,False,0.0,1,1,0,0
531,52,39690,False,0.0,1,0,0,1
532,36,205863,False,0.0,1,1,0,0
533,96,123737,False,0.0,1,0,1,0
534,90,118221,False,0.0,1,0,1,0
535,24,140167,False,0.0,1,0,1,0
536,38,41062,False,0.0,1,0,0,1
537,32,39690,False,0.0,1,0,0,1
538,24,203750,False,0.0,1,1,0,0
539,26,158114,False,0.0,1,1,0,0
540,6,39910,False,0.0,1,0,0,1
541,38,103681,False,0.0,1,0,1,0
542,14,126512,False,0.0,1,0,1,0
543,2,39690,False,0.0,1,0,0,1
544,5,140167,False,0.0,1,0,1,0
545,67,203750,False,0.0,1,1,0,0
546,13,152513,False,0.0,1,1,0,0
547,51,203750,False,0.0,1,1,0,0
548,10,206302,False,0.0,1,1,0,0
549,17,114533,False,0.0,1,0,1,0
550,1,41062,False,0.0,1,0,0,1
551,59,204184,False,0.0,1,1,0,0
552,92,152513,False,0.0,1,1,0,0
553,4,39910,False,0.0,1,0,0,1
554,95,203750,False,0.0,1,1,0,0
555,42,158114,False,0.0,1,1,0,0
556,26,93188,False,0.0,1,0,1,0
557,13,219622,False,0.0,1,1,0,0
558,11,219622,False,0.0,1,1,0,0
559,74,123737,False,0.0,1,0,1,0
560,29,118221,False,0.0,1,0,1,0
561,27,93188,False,0.0,1,0,1,0
562,85,202307,False,0.0,1,1,0,0
563,14,206302,False,0.0,1,1,0,0
564,49,205863,False,0.0,1,1,0,0
565,46,152513,False,0.0,1,1,0,0
566,4,155078,False,0.0,1,1,0,0
567,52,41062,False,0.0,1,0,0,1
568,34,140167,False,0.0,1,0,1,0
569,26,196321,False,0.0,1,1,0,0
570,30,202307,False,0.0,1,1,0,0
571,85,93188,False,0.0,1,0,1,0
572,34,123737,False,0.0,1,0,1,0
573,74,93188,False,0.0,1,0,1,0
574,71,202307,False,0.0,1,1,0,0
575,27,114533,False,0.0,1,0,1,0
576,16,42988,False,0.0,1,0,0,1
577,83,184109,False,0.0,1,1,0,0
578,13,39910,False,0.0,1,0,0,1
579,8,112238,False,0.0,1,0,1,0
580,52,203750,False,0.0,1,1,0,0
581,87,158114,False,0.0,1,1,0,0
582,85,34875,False,0.0,1,0,1,0
583,6,202505,False,0.0,1,1,0,0
584,18,155083,False,0.0,1,1,0,0
585,31,39690,False,0.0,1,0,0,1
586,33,125833,False,0.0,1,0,1,0
587,95,57197,False,0.0,1,0,1,0
588,59,42988,False,0.0,1,0,0,1
589,54,158114,False,0.0,1,1,0,0
590,31,151315,False,0.0,1,1,0,0
591,97,203742,False,0.0,1,1,0,0
592,13,34875,False,0.0,1,0,1,0
593,94,39690,False,0.0,1,0,0,1
594,92,34875,False,0.0,1,0,1,0
595,96,158114,False,0.0,1,1,0,0
596,19,205863,False,0.0,1,1,0,0
597,27,125833,False,0.0,1,0,1,0
598,18,114533,False,0.0,1,0,1,0
599,49,152513,False,0.0,1,1,0,0
600,34,219622,False,0.0,1,1,0,0
601,22,70713,False,0.0,1,0,1,0
602,58,184109,False,0.0,1,1,0,0
603,28,219622,False,0.0,1,1,0,0
604,28,34875,False,0.0,1,0,1,0
605,71,123737,False,0.0,1,0,1,0
606,33,219622,False,0.0,1,1,0,0
607,16,152513,False,0.0,1,1,0,0
608,92,203750,False,0.0,1,1,0,0
609,97,196321,False,0.0,1,1,0,0
610,22,112238,False,0.0,1,0,1,0
611,31,219622,False,0.0,1,1,0,0
612,51,184109,False,0.0,1,1,0,0
613,55,205863,False,0.0,1,1,0,0
614,96,204184,False,0.0,1,1,0,0
615,32,126512,False,0.0,1,0,1,0
616,38,152513,False,0.0,1,1,0,0
617,19,151315,False,0.0,1,1,0,0
618,97,123737,False,0.0,1,0,1,0
619,28,140167,False,0.0,1,0,1,0
620,49,158114,False,0.0,1,1,0,0
621,29,140167,False,0.0,1,0,1,0
622,32,219622,False,0.0,1,1,0,0
623,80,93188,False,0.0,1,0,1,0
624,3,140167,False,0.0,1,0,1,0
625,3,39690,False,0.0,1,0,0,1
626,95,39910,False,0.0,1,0,0,1
627,59,123737,False,0.0,1,0,1,0
628,23,112238,False,0.0,1,0,1,0
629,6,39690,False,0.0,1,0,0,1
630,23,114533,False,0.0,1,0,1,0
631,83,140167,False,0.0,1,0,1,0
632,27,202307,False,0.0,1,1,0,0
633,60,204184,False,0.0,1,1,0,0
634,40,41062,False,0.0,1,0,0,1
635,31,126512,False,0.0,1,0,1,0
636,33,70713,False,0.0,1,0,1,0
637,2,140167,False,0.0,1,0,1,0
638,81,93188,False,0.0,1,0,1,0
639,55,204184,False,0.0,1,1,0,0
640,90,34875,False,0.0,1,0,1,0
641,12,219622,False,0.0,1,1,0,0
642,93,203750,False,0.0,1,1,0,0
643,27,140167,False,0.0,1,0,1,0
644,29,203750,False,0.0,1,1,0,0
645,83,119557,False,0.0,1,0,1,0
646,59,203750,False,0.0,1,1,0,0
647,59,184109,False,0.0,1,1,0,0
648,23,70713,False,0.0,1,0,1,0
649,36,103681,False,0.0,1,0,1,0
650,5,39910,False,0.0,1,0,0,1
651,40,152513,False,0.0,1,1,0,0
652,58,203750,False,0.0,1,1,0,0
653,46,114533,False,0.0,1,0,1,0
654,37,202307,False,0.0,1,1,0,0
655,93,152513,False,0.0,1,1,0,0
656,81,39910,False,0.0,1,0,0,1
657,74,151315,False,0.0,1,1,0,0
658,67,204184,False,0.0,1,1,0,0
659,36,123737,False,0.0,1,0,1,0
660,30,203750,False,0.0,1,1,0,0
661,92,202307,False,0.0,1,1,0,0
662,46,158114,False,0.0,1,1,0,0
